DISTRICT,DD003AMA1219R,DD003ARE1219R,DD203AMA1219R,DD203ARE1219R,DD303AMA1219R,DD303ARE1219R,DD403AMA1219R,DD403ARE1219R,DDA03AMA1219R,DDA03ARE1219R,DDB03AMA1219R,DDB03ARE1219R,DDE03AMA1219R,DDE03ARE1219R,DDF03AMA1219R,DDF03ARE1219R,DDH03AMA1219R,DDH03ARE1219R,DDI03AMA1219R,DDI03ARE1219R,DDL03AMA1219R,DDL03ARE1219R,DDM03AMA1219R,DDM03ARE1219R,DDR03AMA1219R,DDR03ARE1219R,DDS03AMA1219R,DDS03ARE1219R,DDW03AMA1219R,DDW03ARE1219R,DNC03AMA1219R,DNC03ARE1219R,DNM03AMA1219R,DNM03ARE1219R,DNS03AMA1219R,DNS03ARE1219R
'001902,.,.,-1,-1,.,.,.,.,84,61,-1,-1,68,59,86,76,-1,-1,.,.,.,.,83,48,69,38,29,14,86,58,85,65,80,50,-1,-1
'001903,-1,-1,-1,-1,.,.,.,.,42,35,-1,-1,21,21,43,41,44,44,.,.,-1,-1,40,30,35,35,25,25,45,37,52,35,21,34,-1,-1
'001904,-1,-1,-1,-1,-1,-1,.,.,49,43,17,17,44,38,43,48,60,20,-1,-1,-1,-1,54,39,28,4,29,29,56,53,49,46,50,36,.,.
'001906,-1,-1,-1,-1,.,.,.,.,26,30,-1,-1,0,10,25,33,0,20,.,.,-1,-1,27,27,-1,-1,-1,-1,43,43,28,28,20,40,.,.
'001907,51,52,44,33,-1,-1,.,.,44,45,33,31,39,41,36,43,44,44,.,.,51,52,51,48,39,39,31,31,56,63,47,47,30,40,.,.
'001908,9,18,-1,-1,.,.,.,.,24,31,14,21,24,30,26,33,8,16,.,.,11,11,22,27,8,11,18,27,36,42,29,35,5,15,.,.
'001909,-1,-1,-1,-1,-1,-1,.,.,48,44,-1,-1,53,47,55,55,-1,-1,.,.,-1,-1,44,38,38,31,-1,-1,47,42,48,48,50,33,-1,-1
'002901,21,56,83,67,-1,-1,.,.,50,45,-1,-1,38,41,46,50,44,44,-1,-1,21,56,54,40,19,37,15,15,63,47,48,44,60,48,-1,-1
'003801,29,43,17,33,-1,-1,.,.,56,46,44,33,49,37,59,54,50,31,.,.,0,40,53,38,9,27,-1,-1,70,62,53,45,65,47,-1,-1
'003902,37,16,67,17,-1,-1,.,.,56,41,42,33,43,29,59,46,41,24,-1,-1,37,16,53,35,45,18,33,27,64,50,59,41,48,38,-1,-1
'003903,40,26,47,33,60,80,.,.,39,35,25,21,36,30,35,36,43,33,.,.,39,26,43,35,28,20,31,31,46,55,38,34,45,42,40,20
'003904,-1,-1,-1,-1,.,.,.,.,44,36,-1,-1,38,35,35,34,50,40,.,.,-1,-1,54,38,26,14,50,38,42,34,45,39,38,25,-1,-1
'003905,32,31,-1,-1,.,.,.,.,35,39,30,40,31,32,29,38,33,33,-1,-1,26,24,40,40,24,25,25,25,44,56,35,39,31,38,-1,-1
'003906,.,.,-1,-1,.,.,.,.,50,42,.,.,50,38,62,54,-1,-1,.,.,.,.,38,31,20,40,-1,-1,48,38,52,43,40,40,-1,-1
'003907,36,45,57,71,.,.,.,.,33,45,-1,-1,27,43,36,43,46,54,.,.,17,33,31,48,10,21,8,26,27,39,34,47,32,42,-1,-1
'004901,15,15,29,71,20,40,-1,-1,25,28,-1,-1,24,24,20,30,27,19,-1,-1,15,15,29,27,9,9,9,9,23,33,25,29,22,28,40,20
'005901,.,.,.,.,.,.,.,.,85,74,.,.,92,58,80,73,-1,-1,.,.,.,.,92,75,-1,-1,-1,-1,84,76,83,74,-1,-1,.,.
'005902,-1,-1,-1,-1,.,.,.,.,45,41,.,.,36,43,49,49,-1,-1,.,.,.,.,41,31,43,43,-1,-1,47,42,45,40,47,42,.,.
'005904,0,40,.,.,.,.,.,.,61,35,.,.,11,22,50,50,0,40,.,.,0,40,69,23,27,18,-1,-1,78,33,55,30,-1,-1,.,.
'006902,.,.,-1,-1,.,.,.,.,64,56,.,.,50,50,69,56,-1,-1,.,.,.,.,56,56,0,0,-1,-1,64,55,65,59,63,50,-1,-1
'007901,-1,-1,.,.,.,.,.,.,57,32,.,.,57,30,45,18,56,30,.,.,-1,-1,65,41,52,30,-1,-1,-1,-1,58,35,-1,-1,-1,-1
'007902,33,33,-1,-1,.,.,.,.,33,29,-1,-1,25,24,27,32,28,28,.,.,20,20,40,26,8,13,27,9,38,29,33,29,31,31,-1,-1
'007904,19,29,.,.,-1,-1,.,.,25,31,-1,-1,20,25,24,33,26,34,.,.,19,29,26,28,12,18,0,0,18,18,29,35,13,19,-1,-1
'007905,40,30,-1,-1,-1,-1,.,.,34,29,.,.,28,22,33,31,29,26,-1,-1,40,30,35,27,15,10,28,31,45,35,33,26,40,37,-1,-1
'007906,20,20,.,.,.,.,.,.,34,34,-1,-1,30,33,33,47,35,34,.,.,20,20,34,23,24,24,33,38,29,29,37,35,21,30,-1,-1
'008901,13,6,40,60,-1,-1,.,.,47,49,33,17,29,28,53,56,24,33,.,.,13,6,39,42,20,8,30,20,61,61,45,50,54,42,-1,-1
'008902,26,19,-1,-1,.,.,.,.,38,38,7,20,30,32,38,44,30,33,.,.,17,6,38,33,13,10,6,19,59,52,37,37,45,45,14,0
'008903,36,36,-1,-1,.,.,.,.,41,43,-1,-1,35,35,42,58,39,39,.,.,36,36,39,29,24,29,-1,-1,54,62,42,47,38,31,.,.
