"","District","Name","TEA","NCES","Charter","Student_Population","Subject","Score"
"1",1902,"CAYUGA ISD","H","43","N","All","Math","84"
"2",1902,"CAYUGA ISD","H","43","N","All","Reading","61"
"3",1902,"CAYUGA ISD","H","43","N","Econ_Dis","Math","68"
"4",1902,"CAYUGA ISD","H","43","N","Econ_Dis","Reading","59"
"5",1902,"CAYUGA ISD","H","43","N","Female","Math","86"
"6",1902,"CAYUGA ISD","H","43","N","Female","Reading","76"
"7",1902,"CAYUGA ISD","H","43","N","Male","Math","83"
"8",1902,"CAYUGA ISD","H","43","N","Male","Reading","48"
"9",1902,"CAYUGA ISD","H","43","N","At_Risk","Math","69"
"10",1902,"CAYUGA ISD","H","43","N","At_Risk","Reading","38"
"11",1902,"CAYUGA ISD","H","43","N","Special","Math","29"
"12",1902,"CAYUGA ISD","H","43","N","Special","Reading","14"
"13",1903,"ELKHART ISD","G","42","N","All","Math","42"
"14",1903,"ELKHART ISD","G","42","N","All","Reading","35"
"15",1903,"ELKHART ISD","G","42","N","Econ_Dis","Math","21"
"16",1903,"ELKHART ISD","G","42","N","Econ_Dis","Reading","21"
"17",1903,"ELKHART ISD","G","42","N","Female","Math","43"
"18",1903,"ELKHART ISD","G","42","N","Female","Reading","41"
"19",1903,"ELKHART ISD","G","42","N","Male","Math","40"
"20",1903,"ELKHART ISD","G","42","N","Male","Reading","30"
"21",1903,"ELKHART ISD","G","42","N","At_Risk","Math","35"
"22",1903,"ELKHART ISD","G","42","N","At_Risk","Reading","35"
"23",1903,"ELKHART ISD","G","42","N","Special","Math","25"
"24",1903,"ELKHART ISD","G","42","N","Special","Reading","25"
"25",1904,"FRANKSTON ISD","H","42","N","All","Math","49"
"26",1904,"FRANKSTON ISD","H","42","N","All","Reading","43"
"27",1904,"FRANKSTON ISD","H","42","N","Econ_Dis","Math","44"
"28",1904,"FRANKSTON ISD","H","42","N","Econ_Dis","Reading","38"
"29",1904,"FRANKSTON ISD","H","42","N","Female","Math","43"
"30",1904,"FRANKSTON ISD","H","42","N","Female","Reading","48"
"31",1904,"FRANKSTON ISD","H","42","N","Male","Math","54"
"32",1904,"FRANKSTON ISD","H","42","N","Male","Reading","39"
"33",1904,"FRANKSTON ISD","H","42","N","At_Risk","Math","28"
"34",1904,"FRANKSTON ISD","H","42","N","At_Risk","Reading","4"
"35",1904,"FRANKSTON ISD","H","42","N","Special","Math","29"
"36",1904,"FRANKSTON ISD","H","42","N","Special","Reading","29"
"37",1907,"PALESTINE ISD","E","32","N","All","Math","44"
"38",1907,"PALESTINE ISD","E","32","N","All","Reading","45"
"39",1907,"PALESTINE ISD","E","32","N","Econ_Dis","Math","39"
"40",1907,"PALESTINE ISD","E","32","N","Econ_Dis","Reading","41"
"41",1907,"PALESTINE ISD","E","32","N","Female","Math","36"
"42",1907,"PALESTINE ISD","E","32","N","Female","Reading","43"
"43",1907,"PALESTINE ISD","E","32","N","Male","Math","51"
"44",1907,"PALESTINE ISD","E","32","N","Male","Reading","48"
"45",1907,"PALESTINE ISD","E","32","N","At_Risk","Math","39"
"46",1907,"PALESTINE ISD","E","32","N","At_Risk","Reading","39"
"47",1907,"PALESTINE ISD","E","32","N","Special","Math","31"
"48",1907,"PALESTINE ISD","E","32","N","Special","Reading","31"
"49",1908,"WESTWOOD ISD","G","32","N","All","Math","24"
"50",1908,"WESTWOOD ISD","G","32","N","All","Reading","31"
"51",1908,"WESTWOOD ISD","G","32","N","Econ_Dis","Math","24"
"52",1908,"WESTWOOD ISD","G","32","N","Econ_Dis","Reading","30"
"53",1908,"WESTWOOD ISD","G","32","N","Female","Math","26"
"54",1908,"WESTWOOD ISD","G","32","N","Female","Reading","33"
"55",1908,"WESTWOOD ISD","G","32","N","Male","Math","22"
"56",1908,"WESTWOOD ISD","G","32","N","Male","Reading","27"
"57",1908,"WESTWOOD ISD","G","32","N","At_Risk","Math","8"
"58",1908,"WESTWOOD ISD","G","32","N","At_Risk","Reading","11"
"59",1908,"WESTWOOD ISD","G","32","N","Special","Math","18"
"60",1908,"WESTWOOD ISD","G","32","N","Special","Reading","27"
"61",2901,"ANDREWS ISD","D","32","N","All","Math","50"
"62",2901,"ANDREWS ISD","D","32","N","All","Reading","45"
"63",2901,"ANDREWS ISD","D","32","N","Econ_Dis","Math","38"
"64",2901,"ANDREWS ISD","D","32","N","Econ_Dis","Reading","41"
"65",2901,"ANDREWS ISD","D","32","N","Female","Math","46"
